Career Level,Experience Level,Country,Industry,Last login date,total_friend_count,profile_avatar_created,Level,Role,App
Early Career Professional,10 Years+,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,166,Y,YES! Member,Subscriber,iOS
Early Career Professional,2-5 Years,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,128,Y,YES! Member,Subscriber,N/A
Early Career Professional,Graduate/No Experience,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,124,Y,YES! Member,Subscriber,N/A
Educator,10 Years+,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,118,,YES! Member,Subscriber,N/A
Entrepreneur,2-5 Years,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,172,,YES! Member,Subscriber,Android
Student,2-5 Years,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,176,,YES! Member,Subscriber,N/A
Student,2-5 Years,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,166,,YES! Member,Subscriber,N/A
Student,Graduate/No Experience,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,164,Y,YES! Member,Subscriber,Android
Student,Graduate/No Experience,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,164,,YES! Member,Subscriber,N/A
Student,Graduate/No Experience,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,128,,YES! Member,Subscriber,N/A
Student,Graduate/No Experience,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,21/03/2024,118,Y,YES! Member,Subscriber,N/A
Early Career Professional,0-2 Years,Algeria,UNIVERSITIES / ASSOCIATIONS / NGO / RESEARCH,24/03/2024,102,Y,YES! Member,Subscriber,N/A
